Da0e,Precip in.
1/1/13,0.27
1/2/13,0
1/3/13,0
1/4/13,0.08
1/5/13,0.18
1/6/13,0.01
1/7/13,0
1/8/13,0.15
1/9/13,2.56
1/10/13,0.09
1/11/13,0.01
1/12/13,0.04
1/13/13,0
1/14/13,0
1/15/13,0.04
1/16/13,0
1/17/13,0
1/18/13,0
1/19/13,0
1/20/13,0
1/21/13,0
1/22/13,0
1/23/13,0
1/24/13,0
1/25/13,0
1/26/13,0
1/27/13,0.01
1/28/13,0
1/29/13,0.01
1/30/13,0.01
1/31/13,0
2/1/13,0
2/2/13,0
2/3/13,0
2/4/13,0
2/5/13,0.01
2/6/13,0.03
2/7/13,0.01
2/8/13,0
2/9/13,0
2/10/13,0.12
2/11/13,0
2/12/13,0.33
2/13/13,0.01
2/14/13,0
2/15/13,0
2/16/13,0
2/17/13,0
2/18/13,0
2/19/13,0
2/20/13,0
2/21/13,0.06
2/22/13,0
2/23/13,0
2/24/13,0
2/25/13,0
2/26/13,0
2/27/13,0
2/28/13,0
3/1/13,0
3/2/13,0
3/3/13,0
3/4/13,0
3/5/13,0
3/6/13,0
3/7/13,0
3/8/13,0
3/9/13,0.11
3/10/13,0.65
3/11/13,0
3/12/13,0
3/13/13,0
3/14/13,0
3/15/13,0
3/16/13,0
3/17/13,0
3/18/13,0
3/19/13,0
3/20/13,0.11
3/21/13,0
3/22/13,0
3/23/13,0
3/24/13,0.01
3/25/13,0
3/26/13,0
3/27/13,0
3/28/13,0
3/29/13,0
3/30/13,0.02
3/31/13,0
4/1/13,0.09
4/2/13,0.04
4/3/13,1.45
4/4/13,0.13
4/5/13,0.01
4/6/13,0
4/7/13,0
4/8/13,**
4/9/13,**
4/10/13,0.23 * 
4/11/13,0.12
4/12/13,0.01
4/13/13,0
4/14/13,0
4/15/13,0
4/16/13,0
4/17/13,0
4/18/13,0.23
4/19/13,0.01
4/20/13,0
4/21/13,0
4/22/13,0
4/23/13,0
4/24/13,0
4/25/13,0
4/26/13,0.01
4/27/13,0.01
4/28/13,0.14
4/29/13,0
4/30/13,0.09
5/1/13,0
5/2/13,0.15
5/3/13,**
5/4/13,**
5/5/13,**
5/6/13,**
5/7/13,0.00 * 
5/8/13,0
5/9/13,0
5/10/13,1.61
5/11/13,0.57
5/12/13,0.01
5/13/13,0
5/14/13,0
5/15/13,0.01
5/16/13,0.04
5/17/13,0
5/18/13,0
5/19/13,0
5/20/13,0
